Indicator,Geographic area,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,02 Baja California,172387,168079,170704,187801,186838,200900,171434,189098
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,03 Baja California Sur,6865,11873,11551,10447,9123,8460,9928,7751
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,04 Campeche,5337,4327,4642,4704,3145,3995,3282,5411
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,36742,33607,38460,38701,47152,46010,47000,53510
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,06 Colima,19095,21266,19611,21244,24451,24234,24197,27925
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,07 Chiapas,7742,8306,9534,9841,9389,11021,16345,10931
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,08 Chihuahua,74747,87931,94347,83052,89828,80976,83804,102031
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,09 Ciudad de México,242292,310370,276971,270674,261088,320321,238166,349058
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,10 Durango,15936,16675,18082,20050,15484,15685,18595,23696
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,11 Guanajuato,228810,211983,235677,220468,220084,247536,206310,252052
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,12 Guerrero,36342,35059,50855,43768,43573,39823,47738,58153
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,13 Hidalgo,80840,72823,77044,72091,95860,81556,72775,76388
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,14 Jalisco,159595,165153,189177,155648,148949,146819,179921,246890
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,15 México,288099,282776,338950,375856,430571,435455,520112,591667
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,37356,51255,47160,47984,70936,64833,72488,103474
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,17 Morelos,132412,131092,146476,148271,146154,139230,131162,142587
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,18 Nayarit,14257,17327,15441,12280,14147,14080,12037,13690
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,19 Nuevo León,98342,124983,116664,124401,135290,167918,172896,194383
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,20 Oaxaca,60310,61822,63460,67039,80826,72260,58146,80134
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,21 Puebla,94894,111835,105269,69779,77166,60368,67890,110890
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,22 Querétaro,121415,129075,151090,160020,151349,174068,169056,196038
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,23 Quintana Roo,23565,19893,29470,23176,22994,22916,19649,31417
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,24 San Luis Potosí,77970,77377,88737,100170,76114,80458,85546,116574
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,25 Sinaloa,59678,66747,57198,68664,64147,63579,77398,69560
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,26 Sonora,109589,113871,127483,106047,107502,109328,107228,139879
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,27 Tabasco,37166,39188,35005,47662,29005,45770,55288,50013
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,28 Tamaulipas,57047,53921,58208,55384,54753,63610,61124,54719
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,29 Tlaxcala,24552,28700,30331,28514,27399,27138,26923,28713
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,153190,169947,184804,139971,165204,123470,111567,139949
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,31 Yucatán,27973,28609,29996,30997,22916,23600,25503,32248
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,32 Zacatecas,42798,44594,58005,49828,42217,39629,33445,43834
